target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,catalog_planets,mean_depth_ppm,runtime_proxy,shard_id
22,K08054,11443757,thick,single,1.0,1,K08054.01,43.9088053,43.9088053,13.7,1,K08054.01,43.9088053,43.9088053,13.7,previously_launched_no_usable_result,1,297.8,1.55,1
88,K02829,6197215,thin,single,0.1473,1,K02829.01,10.61345333,10.61345333,20.0,1,K02829.01,10.61345333,10.61345333,20.0,previously_launched_no_usable_result,1,150.2,1.55,1
122,K05568,8745553,thin,single,0.3267,1,K05568.01,62.134919,62.134919,10.6,1,K05568.01,62.134919,62.134919,10.6,previously_launched_no_usable_result,1,147.5,1.55,1
137,K07882,8364232,thin,single,0.0434,1,K07882.01,65.415183,65.415183,8.9,1,K07882.01,65.415183,65.415183,8.9,previously_launched_no_usable_result,1,417.1,1.55,1
6,K00176,6442377,thick,single,0.91,1,K00176.01,30.22910274,30.22910274,71.7,1,K00176.01,30.22910274,30.22910274,71.7,not_in_previous_592_target_launch,1,443.4,1.35,1
12,K02935,8259713,thick,single,1.0,1,K02935.01,27.8813154,27.8813154,15.5,1,K02935.01,27.8813154,27.8813154,15.5,not_in_previous_592_target_launch,1,209.2,1.35,1
19,K07076,8693536,thick,single,0.7114,1,K07076.01,16.2347636,16.2347636,10.7,1,K07076.01,16.2347636,16.2347636,10.7,not_in_previous_592_target_launch,1,115.5,1.35,1
59,K00629,4656049,thin,single,0.1007,1,K00629.01,40.6992062,40.6992062,38.5,1,K00629.01,40.6992062,40.6992062,38.5,not_in_previous_592_target_launch,1,429.9,1.35,1
61,K00685,7764367,thin,single,0.0654,1,K00685.01,3.173914037,3.173914037,76.1,1,K00685.01,3.173914037,3.173914037,76.1,not_in_previous_592_target_launch,1,303.0,1.35,1
65,K01309,10854768,thin,single,0.0487,1,K01309.01,10.1171684,10.1171684,50.6,1,K01309.01,10.1171684,10.1171684,50.6,not_in_previous_592_target_launch,1,288.7,1.35,1
67,K01622,7287683,thin,single,0.0517,1,K01622.01,69.8347983,69.8347983,46.8,1,K01622.01,69.8347983,69.8347983,46.8,not_in_previous_592_target_launch,1,266.6,1.35,1
70,K01886,9549648,thin,single,0.1952,1,K01886.01,5.99185827,5.99185827,32.1,1,K01886.01,5.99185827,5.99185827,32.1,not_in_previous_592_target_launch,1,186.3,1.35,1
