kepid,kepoi_name,disk,system,new_system,koi_count,koi_period,koi_model_snr,koi_prad,P_thick,classifier,system_definition
8212002,K02593.02,thin,multi,single,2,9.5539134,13.1,0.68,0.0748803292487416,direct,raw_confirmed_only_count_gt1
9872283,K01815.02,thin,multi,single,2,1.74610057,9.2,1.24,0.0393147778738343,direct,raw_confirmed_only_count_gt1
12600735,K00548.01,thin,multi,single,2,21.30020491,58.1,2.99,0.0358229424885739,direct,raw_confirmed_only_count_gt1
8226050,K01910.02,thin,multi,single,2,18.3848331,10.3,1.15,0.0498261028283629,direct,raw_confirmed_only_count_gt1
6779260,K02678.02,thin,multi,single,2,2.2165905,2.8,0.48,0.2274401698061268,direct,raw_confirmed_only_count_gt1
2832589,K01942.02,thin,multi,single,2,2.433703498,10.2,1.66,0.040552008113994,direct,raw_confirmed_only_count_gt1
10285631,K00331.02,thin,multi,single,2,10.52286678,10.1,23.26,0.0663123011346644,direct,raw_confirmed_only_count_gt1
10157458,K01083.02,thin,multi,single,2,4.57797412,9.6,0.96,0.0729182290134359,direct,raw_confirmed_only_count_gt1
8043638,K00460.01,thin,multi,single,2,17.58751692,109.4,4.03,0.0445970465148829,direct,raw_confirmed_only_count_gt1
6716545,K02906.03,thin,multi,single,3,21.9424316,10.7,1.23,0.0413100027191113,direct,raw_confirmed_only_count_gt1
7119481,K00566.01,thin,multi,single,3,25.85499978,31.7,2.4,0.0717558479442271,direct,raw_confirmed_only_count_gt1
12600735,K00548.02,thin,multi,single,2,6.0799457,7.3,0.86,0.0358229424885739,direct,raw_confirmed_only_count_gt1
4914423,K00108.01,thin,single,multi,2,15.96532718,144.2,3.33,0.0795530415191607,direct,raw_confirmed_only_count_gt1
5531694,K00647.01,thin,multi,single,2,5.16949729,66.2,2.06,0.0371894393425142,direct,raw_confirmed_only_count_gt1
5613330,K00649.01,thin,multi,single,2,23.44970494,67.9,2.71,0.0350427810969648,direct,raw_confirmed_only_count_gt1
5966154,K00655.01,thin,single,multi,2,25.6721559,78.4,2.68,0.0358684514973412,direct,raw_confirmed_only_count_gt1
9873254,K00717.01,thick,single,multi,2,14.70749512,36.3,2.04,0.5717075430784553,direct,raw_confirmed_only_count_gt1
10000941,K04146.01,thin,multi,single,2,3.50472344,18.4,0.8,0.0536059045760287,direct,raw_confirmed_only_count_gt1
4548098,K04157.01,thin,multi,single,2,3.82315697,8.9,0.77,0.0994328102577593,direct,raw_confirmed_only_count_gt1
8282651,K02193.02,thin,multi,single,2,4.16288745,12.0,1.32,0.134087128376247,direct,raw_confirmed_only_count_gt1
1724719,K04212.01,thin,multi,single,2,5.79179934,17.7,1.69,0.0544230509745522,direct,raw_confirmed_only_count_gt1
1724719,K04212.02,thin,multi,single,2,10.0989634,8.9,1.03,0.0544230509745522,direct,raw_confirmed_only_count_gt1
4548011,K04288.01,thin,multi,single,4,6.28384079,14.9,0.73,0.4046000758464096,direct,raw_confirmed_only_count_gt1
4548011,K04288.02,thin,multi,single,4,9.08745206,11.7,0.73,0.4046000758464096,direct,raw_confirmed_only_count_gt1
8773015,K04301.01,thin,multi,single,2,15.604841,15.3,1.57,0.0496588855629982,direct,raw_confirmed_only_count_gt1
6103377,K03004.02,thin,multi,single,2,7.03965141,9.8,2.72,0.0465123658343458,direct,raw_confirmed_only_count_gt1
5175024,K02563.02,thick,multi,single,2,6.2614227,10.6,0.81,0.999566598012088,direct,raw_confirmed_only_count_gt1
6937529,K04382.01,thin,multi,single,2,2.94648935,12.7,0.89,0.0779500025726461,direct,raw_confirmed_only_count_gt1
5177859,K04246.01,thin,multi,single,2,6.98472143,11.7,1.19,0.0439196026579693,direct,raw_confirmed_only_count_gt1
6937529,K04382.02,thin,multi,single,2,3.98167088,10.3,0.79,0.0779500025726461,direct,raw_confirmed_only_count_gt1
9883606,K04383.01,thick,multi,single,2,4.34195312,10.6,0.94,0.96036174962682,direct,raw_confirmed_only_count_gt1
7119481,K00566.03,thin,multi,single,3,42.068554,9.8,1.32,0.0717558479442271,direct,raw_confirmed_only_count_gt1
5531694,K00647.02,thin,multi,single,2,8.1134681,10.5,0.92,0.0371894393425142,direct,raw_confirmed_only_count_gt1
9828127,K04192.01,thin,multi,single,2,18.0541469,19.3,1.51,0.0950569893052076,direct,raw_confirmed_only_count_gt1
7107802,K02420.02,thin,multi,single,2,5.4675514,10.4,1.07,0.1656391356456746,direct,raw_confirmed_only_count_gt1
8890924,K04269.01,thin,multi,single,2,26.6565737,18.8,4.15,0.0481524393165035,direct,raw_confirmed_only_count_gt1
8890924,K04269.02,thin,multi,single,2,4.4408541,12.0,1.74,0.0481524393165035,direct,raw_confirmed_only_count_gt1
5003670,K04524.01,thin,multi,single,3,7.99144696,12.8,1.53,0.0414291050726306,direct,raw_confirmed_only_count_gt1
5003670,K04524.02,thin,multi,single,3,4.52628739,12.5,1.02,0.0414291050726306,direct,raw_confirmed_only_count_gt1
4857058,K03061.02,thin,multi,single,2,77.915425,9.2,1.17,0.0340868550895426,direct,raw_confirmed_only_count_gt1
8397947,K04772.01,thin,multi,single,3,3.38080537,11.6,1.69,0.0432724294019619,direct,raw_confirmed_only_count_gt1
8397947,K04772.02,thin,multi,single,3,9.0194714,7.2,1.07,0.0432724294019619,direct,raw_confirmed_only_count_gt1
8331612,K03318.01,thin,multi,single,2,13.8353959,10.3,3.78,0.0592431482125277,direct,raw_confirmed_only_count_gt1
8874090,K01404.02,thin,multi,single,2,18.9060921,11.9,0.87,0.0363539281239349,direct,raw_confirmed_only_count_gt1
8331612,K03318.02,thin,multi,single,2,25.6970688,6.4,3.83,0.0592431482125277,direct,raw_confirmed_only_count_gt1
7285757,K03271.01,thick,multi,single,2,19.5489666,12.6,1.89,0.9898454329823164,direct,raw_confirmed_only_count_gt1
7285757,K03271.02,thick,multi,single,2,7.41834569,11.2,1.12,0.9898454329823164,direct,raw_confirmed_only_count_gt1
4645174,K03437.01,thick,multi,single,2,15.0330623,14.9,2.18,0.9999999999996164,direct,raw_confirmed_only_count_gt1
4645174,K03437.02,thick,multi,single,2,34.7496038,11.4,3.51,0.9999999999996164,direct,raw_confirmed_only_count_gt1
11657614,K03370.01,thin,multi,single,2,24.352541,5.8,1.52,0.0504942640457433,direct,raw_confirmed_only_count_gt1
11657614,K03370.02,thin,multi,single,2,5.94228603,7.5,1.23,0.0504942640457433,direct,raw_confirmed_only_count_gt1
3559860,K03440.01,thin,multi,single,2,33.0257179,12.2,2.21,0.0750313821125975,direct,raw_confirmed_only_count_gt1
6705026,K03374.01,thin,multi,single,2,9.5084871,13.3,1.65,0.1623350769732716,direct,raw_confirmed_only_count_gt1
6705026,K03374.02,thin,multi,single,2,34.1086562,11.7,1.95,0.1623350769732716,direct,raw_confirmed_only_count_gt1
8644365,K03384.01,thin,multi,single,2,10.54841329,11.7,3.89,0.0406794693960495,direct,raw_confirmed_only_count_gt1
8644365,K03384.02,thin,multi,single,2,19.9158863,28.3,1.41,0.0406794693960495,direct,raw_confirmed_only_count_gt1
6209677,K01750.02,thin,multi,single,2,2.53742164,12.8,0.93,0.0717647218461519,direct,raw_confirmed_only_count_gt1
9995771,K03470.01,thin,multi,single,2,15.0617835,12.1,1.61,0.077571856738475,direct,raw_confirmed_only_count_gt1
9995771,K03470.02,thin,multi,single,2,25.4337864,14.3,2.0,0.077571856738475,direct,raw_confirmed_only_count_gt1
9349757,K03348.01,thin,multi,single,2,36.4337867,16.2,2.2,0.0444890757286765,direct,raw_confirmed_only_count_gt1
9973109,K02018.02,thin,multi,single,2,16.0988294,10.9,1.14,0.0543561869166339,direct,raw_confirmed_only_count_gt1
2581316,K03681.02,thin,single,multi,2,10.51421162,21.6,1.25,0.0450108309477504,direct,raw_confirmed_only_count_gt1
8257205,K01986.02,thin,single,multi,2,7.12766417,16.0,1.21,0.0437129486330045,direct,raw_confirmed_only_count_gt1
4164922,K03864.01,thick,multi,single,2,1.210693626,41.6,0.99,0.6070782823142701,direct,raw_confirmed_only_count_gt1
4164922,K03864.02,thick,multi,single,2,18.2572722,17.3,0.94,0.6070782823142701,direct,raw_confirmed_only_count_gt1
