target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,population,recovery_class,canonical_action
63,K01117,3114811,thin,single,0.1822,1,K01117.01,11.08956602,11.08956602,38.9,1,K01117.01,11.08956602,11.08956602,38.9,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
64,K01154,10295951,thin,single,0.0448,1,K01154.01,6.810823723,6.810823723,1441.9,1,K01154.01,6.810823723,6.810823723,1441.9,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
65,K01309,10854768,thin,single,0.0487,1,K01309.01,10.1171684,10.1171684,50.6,1,K01309.01,10.1171684,10.1171684,50.6,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
66,K01597,5039228,thin,single,0.0479,1,K01597.01,7.79668781,7.79668781,48.5,1,K01597.01,7.79668781,7.79668781,48.5,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
67,K01622,7287683,thin,single,0.0517,1,K01622.01,69.8347983,69.8347983,46.8,1,K01622.01,69.8347983,69.8347983,46.8,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
68,K01814,5621125,thin,single,0.1337,1,K01814.01,14.80075082,14.80075082,54.0,1,K01814.01,14.80075082,14.80075082,54.0,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
69,K01852,9763348,thin,single,0.0567,1,K01852.01,15.77382794,15.77382794,30.4,1,K01852.01,15.77382794,15.77382794,30.4,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
70,K01886,9549648,thin,single,0.1952,1,K01886.01,5.99185827,5.99185827,32.1,1,K01886.01,5.99185827,5.99185827,32.1,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
71,K01921,7755636,thin,single,0.1042,1,K01921.01,16.00496657,16.00496657,49.8,1,K01921.01,16.00496657,16.00496657,49.8,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
72,K02010,5631630,thin,single,0.0448,1,K02010.01,25.96190067,25.96190067,37.5,1,K02010.01,25.96190067,25.96190067,37.5,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
