koi_target,kepid,kepoi_name,koi_period,alderaan_planet_index,alderaan_period_days,period_relative_difference,disk,system,e16,e50,e84,zeta_median,zeta_p16,zeta_p84,n_zeta,impact_mode,posterior_file
K02541,12306058,K02541.02,20.4853893,1,20.49696937500005,0.0005652845953016587,thick,multi,0.12055732290138003,0.30466357769602553,0.5951426108313428,0.884232155736695,0.7655557214280365,1.413765475763643,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02541_K02541_02_eomega_posterior.npz
K02563,5175024,K02563.02,6.2614227,0,6.25682831000006,0.0007337613542589746,thick,multi,0.07185619130413083,0.26386707946651283,0.5864738461888029,1.3373108936817446,1.0291342263925438,2.0892819225674524,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02563_K02563_02_eomega_posterior.npz
K02563,5175024,K02563.01,23.4772553,1,23.49243841750007,0.0006467160366939799,thick,multi,0.13601484125013968,0.31985456410351687,0.6046922261035104,0.8660740758655676,0.7525505459396693,1.4028436118047256,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02563_K02563_01_eomega_posterior.npz
K02775,6346809,K02775.01,17.57704569,0,17.577838346666642,4.509612597152041e-05,thick,single,0.5309379921683071,0.7700639693851697,0.8682187859227949,0.39616277345745216,0.3209899752258525,0.6006540938726543,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02775_K02775_01_eomega_posterior.npz
K02972,8949925,K02972.01,13.2511214,0,13.25065319500004,3.533323602029706e-05,thick,multi,0.09796858292237746,0.26932077412033045,0.5731745989960649,0.9498672808982563,0.8066142557385372,1.5664725477022587,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02972_K02972_01_eomega_posterior.npz
K02972,8949925,K02972.02,42.0292298,1,42.038976694999974,0.0002319075330752512,thick,multi,0.07232612440244547,0.24747928485733636,0.564092354453996,1.1357167006108957,0.8850430691436438,1.767906526152111,3997,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02972_K02972_02_eomega_posterior.npz
K03068,3230805,K03068.01,3.91679553,0,3.9153948299999684,0.0003576137659735235,thick,multi,0.059497736727591545,0.21232169783818391,0.5326104580693497,1.0362644665131673,0.8784966583474231,1.5983197437567733,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K03068_K03068_01_eomega_posterior.npz
K03068,3230805,K03068.02,6.65171459,1,6.64848350000004,0.00048575295230156784,thick,multi,0.04798766741005137,0.19267468349861808,0.5233082557246043,1.0995509333386941,0.9328918319921927,1.7553378075282726,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K03068_K03068_02_eomega_posterior.npz
K03145,1717722,K03145.01,4.53702121,0,4.5371628999999984,3.1229741594846955e-05,thick,multi,0.10168055714076703,0.28465438484603023,0.5814637726971615,0.9248812757410805,0.783014851852657,1.4348169261826094,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K03145_K03145_01_eomega_posterior.npz
K04136,7256914,K04136.01,2.41750021,0,2.417559429999983,2.4496378423449668e-05,thick,multi,0.05124599966381671,0.20538960574419082,0.5415699166773937,1.2068931530581533,1.0289569220548964,1.8971690812597308,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K04136_K04136_01_eomega_posterior.npz
K04136,7256914,K04136.02,4.03357434,1,4.035638121666674,0.0005116508319202849,thick,multi,0.1901511284640627,0.36315033596546215,0.652692218316144,1.3845797215137376,1.1877995850053105,2.203587528275487,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K04136_K04136_02_eomega_posterior.npz
K04647,9947653,K04647.02,12.008552,0,12.009956105000015,0.00011692542115109847,thick,multi,0.2965844995249212,0.5676427254441491,0.7527361562936162,0.6005878094585357,0.5127245138951374,0.9668423893862989,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K04647_K04647_02_eomega_posterior.npz
K04647,9947653,K04647.01,37.9043889,1,37.902296054999994,5.5213790823232605e-05,thick,multi,0.173632607643282,0.43589989604283574,0.6776791401103653,0.7714116682795076,0.6052488885296863,1.2185900135318812,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K04647_K04647_01_eomega_posterior.npz
