,koi_id,kic_id,npl,period,epoch,depth,duration,impact,limbdark_1,limbdark_2
137,K04773,7906892,2,11.1438086,131.725,41.7,7.905,0.629,0.3447,0.2916
138,K04775,8626325,1,16.4491515,145.7441,70.9,6.696,0.866,0.5198,0.1952
139,K04793,6220312,1,5.2736268,135.6461,86.1,5.291,0.595,0.4035,0.2622
140,K04818,9459162,1,3.79892774,133.289,47.0,4.112,0.13,0.274,0.3189
141,K04833,10584140,1,4.31724247,133.4243,59.0,4.126,0.252,0.3434,0.2918
142,K04913,5769810,2,6.78788113,136.3345,73.1,2.26,0.022,0.2951,0.3132
143,K04913,5769810,2,8.97377221,139.73978,106.5,2.135,0.237,0.2951,0.3132
144,K04963,3101178,1,59.4037839,159.80356,123.5,10.041,0.94,0.3026,0.3029
145,K04977,3425363,1,25.5338535,153.586,368.0,2.076,0.1577,0.6192,0.1157
146,K05046,4164511,1,40.9882124,152.2483,145.8,3.599,0.2697,0.2776,0.3067
147,K05178,5551240,1,4.13960513,134.04705,106.7,3.31,0.344,0.2947,0.3103
148,K05406,7625138,1,5.71966537,131.78147,19.1,3.938,0.1103,0.3057,0.3071
149,K05411,7672215,1,11.1734401,142.5962,61.3,4.545,0.268,0.2353,0.3376
150,K05475,8105398,2,5.68325648,134.87698,44.6,1.778,0.844,0.3078,0.3001
151,K05475,8105398,2,224.150923,341.02756,348.6,12.455,0.019,0.3078,0.3001
152,K05497,8279146,1,93.359737,155.8348,38.3,5.397,0.0547,0.2718,0.3117
153,K05568,8745553,1,62.134919,154.0853,147.5,8.711,0.827,0.3647,0.2918
154,K05748,9993683,1,29.9371143,145.1081,194.3,4.435,0.321,0.5746,0.1496
155,K05895,11407847,1,11.8307724,140.1105,136.0,8.791,0.592,0.4415,0.2396
156,K05934,11811382,1,19.3854894,142.34859,4560.0,1.031,0.0074,0.4526,0.2325
157,K06068,9418619,1,6.150251376,134.4228253,2128.7,1.68923,1.27,0.2291,0.2912
158,K06102,3545840,1,54.2916336,172.0219,97.8,3.364,0.7285,0.2781,0.3171
159,K06118,4739229,2,4.66185924,133.58514,49.3,3.164,0.2695,0.2488,0.3266
160,K06118,4739229,2,571.280892,368.0081,460.7,21.827,0.6109,0.2488,0.3266
161,K06168,7974634,2,75.072964,147.1591,74.3,9.21,0.2602,0.3018,0.3096
162,K06168,7974634,2,131.258668,182.3187,153.0,4.89,0.4901,0.3018,0.3096
163,K06301,2994092,1,50.271927,160.466,574.5,6.073,0.205,0.2998,0.3138
164,K06342,3547178,1,8.1770751,136.8217,44.3,4.608,0.456,0.2866,0.3071
165,K06949,8007675,1,2.352446342,131.9380482,32.5,1.6802,0.755,0.2705,0.3183
166,K07072,8624860,1,15.3902613,140.8602,76.8,3.431,0.231,0.3542,0.2841
167,K07076,8693536,1,16.2347636,139.9705,115.5,4.2,0.046,0.2971,0.3119
168,K07415,11182260,1,1.291964282,132.63733,28640.0,1.8378,0.461,0.5172,0.1908
169,K07506,12016243,1,11.8436119,138.0037,199.3,6.044,0.067,0.3588,0.2868
170,K07546,3965201,1,44.113873,164.8337,196.3,3.956,0.032,0.2926,0.2862
171,K07572,6876575,1,91.069934,196.391,12.7,17.33,0.5939,0.2267,0.294
172,K07593,8444868,1,67.412998,196.1263,126.1,9.1,0.5109,0.2914,0.3113
173,K07780,6451368,1,5.3360574,132.605,54.7,3.877,0.006,0.2774,0.3088
174,K07882,8364232,1,65.415183,140.2325,417.1,4.224,0.377,0.6656,0.0853
175,K07991,10198225,1,11.9451376,142.3107,63.3,6.893,0.443,0.5474,0.1713
176,K08007,10403228,1,67.176626864,144.1192641,1689.9,3.1147,1.236,0.3573,0.366
177,K08035,10862759,1,29.4856392,151.8669,105.0,4.27,0.103,0.2751,0.3169
178,K08052,11358305,1,7.8687123,133.2612,89.1,3.739,0.748,0.2734,0.318
179,K08054,11443757,1,43.9088053,169.335,297.8,6.265,0.272,0.4858,0.2129
180,K08082,12602999,1,8.2766028,131.7601,73.1,4.834,0.638,0.2734,0.318
