target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr
277,K00501,4951877,thin,single,0.0363701715593429,1,K00501.01,24.7962801,24.7962801,43.6,1,K00501.01,24.7962801,24.7962801,43.6
278,K00535,10873260,thin,single,0.0482983534287809,1,K00535.01,5.852968845,5.852968845,152.4,1,K00535.01,5.852968845,5.852968845,152.4
279,K00554,5443837,thin,single,0.1689606279298086,1,K00554.01,3.65849707,3.65849707,47.0,1,K00554.01,3.65849707,3.65849707,47.0
280,K00585,9279669,thin,single,0.0667961209843992,1,K00585.01,3.722158895,3.722158895,70.3,1,K00585.01,3.722158895,3.722158895,70.3
281,K00680,7529266,thin,single,0.0244234339539036,1,K00680.01,8.600153929,8.600153929,1208.1,1,K00680.01,8.600153929,8.600153929,1208.1
282,K00716,9846348,thin,single,0.0381711023762712,1,K00716.01,26.89316101,26.89316101,119.6,1,K00716.01,26.89316101,26.89316101,119.6
283,K00721,9964801,thin,single,0.0492699512966833,1,K00721.01,13.72462702,13.72462702,50.1,1,K00721.01,13.72462702,13.72462702,50.1
284,K00753,10811496,thin,single,0.0305427087156849,1,K00753.01,19.89913995,19.89913995,76.3,1,K00753.01,19.89913995,19.89913995,76.3
285,K00764,11304958,thin,single,0.0261366017594339,1,K00764.01,41.43958662,41.43958662,141.1,1,K00764.01,41.43958662,41.43958662,141.1
286,K00777,11818800,thin,single,0.1139329687124247,1,K00777.01,40.4195037,40.4195037,36.9,1,K00777.01,40.4195037,40.4195037,36.9
287,K00782,11960862,thin,single,0.1291775253882932,1,K00782.01,6.575315881,6.575315881,221.1,1,K00782.01,6.575315881,6.575315881,221.1
288,K00783,12020329,thin,single,0.0989673219287029,1,K00783.01,7.275040844,7.275040844,312.1,1,K00783.01,7.275040844,7.275040844,312.1
289,K00791,12644822,thin,single,0.0545017051912371,1,K00791.01,12.611904345,12.611904345,277.2,1,K00791.01,12.611904345,12.611904345,277.2
290,K00815,4544670,thin,single,0.0317959746784663,1,K00815.01,34.84398644,34.84398644,76.8,1,K00815.01,34.84398644,34.84398644,76.8
291,K00820,4936180,thin,single,0.0417469298449853,1,K00820.01,4.64090031,4.64090031,296.9,1,K00820.01,4.64090031,4.64090031,296.9
292,K00823,5115978,thin,single,0.0255025166570666,1,K00823.01,1.028436523,1.028436523,89.6,1,K00823.01,1.028436523,1.028436523,89.6
293,K00845,6032497,thin,single,0.0314899507258554,1,K00845.01,16.3297527,16.3297527,74.6,1,K00845.01,16.3297527,16.3297527,74.6
294,K00846,6061119,thin,single,0.0368992602765114,1,K00846.01,27.807566216,27.807566216,748.1,1,K00846.01,27.807566216,27.807566216,748.1
295,K00856,6526710,thin,single,0.2244362541798085,1,K00856.01,39.74893077,39.74893077,561.1,1,K00856.01,39.74893077,39.74893077,561.1
